,LOWER(category),Contagem,,Primeiro crivo,,Segundo crivo,Final,,
FALSE,media,4,FALSE,,FALSE,,,,
TRUE,media server,2,FALSE,media server,FALSE,,,,
FALSE,memory,3,FALSE,,FALSE,,,,
FALSE,menubar,3,FALSE,,FALSE,,,,
FALSE,messaging,5,FALSE,,FALSE,,,,
FALSE,messenger,2,FALSE,,FALSE,,,,
FALSE,metadata,2,FALSE,,FALSE,,,,
FALSE,microsoft,5,FALSE,,FALSE,,,,
FALSE,middleware,2,FALSE,,FALSE,,,,
TRUE,midi,4,TRUE,midi,TRUE,midi,"midi,",,
TRUE,minecraft,5,TRUE,minecraft,TRUE,minecraft,"minecraft,",,
FALSE,mini,2,FALSE,,FALSE,,,,
FALSE,mobile,8,FALSE,,FALSE,,,,
FALSE,mobile development,2,FALSE,,FALSE,,,,
FALSE,mobx,2,FALSE,,FALSE,,,,
FALSE,modding,2,FALSE,,FALSE,,,,
FALSE,models,2,FALSE,,FALSE,,,,
FALSE,modern,2,FALSE,,FALSE,,,,
FALSE,mods,2,FALSE,,FALSE,,,,
FALSE,module,3,FALSE,,FALSE,,,,
FALSE,mongodb,5,FALSE,,FALSE,,,,
TRUE,monitor,3,TRUE,monitor,TRUE,monitor,"monitor,",,
FALSE,monitoring,5,FALSE,,FALSE,,,,
FALSE,monitors,2,FALSE,,FALSE,,,,
FALSE,mono,2,FALSE,,FALSE,,,,
FALSE,mouse,2,FALSE,,FALSE,,,,
FALSE,mp3,3,FALSE,,FALSE,,,,
FALSE,msbuild,2,FALSE,,FALSE,,,,
FALSE,mstsc,2,FALSE,,FALSE,,,,
FALSE,multilingual,2,FALSE,,FALSE,,,,
FALSE,multiple,2,FALSE,,FALSE,,,,
TRUE,music,31,TRUE,music,TRUE,music,"music,",,
FALSE,mvc,3,FALSE,,FALSE,,,,
FALSE,mvvm,2,FALSE,,FALSE,,,,
FALSE,mysql,4,FALSE,,FALSE,,,,
FALSE,na,2,FALSE,,FALSE,,,,
FALSE,neovim,3,FALSE,,FALSE,,,,
FALSE,net,62,FALSE,,FALSE,,,,
FALSE,net core,6,FALSE,,FALSE,,,,
FALSE,net framework,5,FALSE,,FALSE,,,,
FALSE,net standard,2,FALSE,,FALSE,,,,
FALSE,net winforms,4,FALSE,,FALSE,,,,
FALSE,network,6,FALSE,,FALSE,,,,
FALSE,networking,2,FALSE,,FALSE,,,,
FALSE,networks,2,FALSE,,FALSE,,,,
FALSE,node,8,FALSE,,FALSE,,,,
FALSE,nodejs,31,FALSE,,FALSE,,,,
FALSE,note taking,2,FALSE,,FALSE,,,,
FALSE,note-taking,2,FALSE,,FALSE,,,,
FALSE,notebook,3,FALSE,,FALSE,,,,
TRUE,notes,4,TRUE,notes,TRUE,notes,"notes,",,
TRUE,notifications,2,TRUE,notifications,TRUE,notifications,"notifications,",,
FALSE,npm,2,FALSE,,FALSE,,,,
FALSE,ntfs,2,FALSE,,FALSE,,,,
FALSE,objects,2,FALSE,,FALSE,,,,
FALSE,ocr,2,FALSE,,FALSE,,,,
FALSE,office,3,FALSE,,FALSE,,,,
FALSE,one,2,FALSE,,FALSE,,,,
FALSE,online,3,FALSE,,FALSE,,,,
FALSE,open,5,FALSE,,FALSE,,,,
FALSE,open source,39,FALSE,,FALSE,,,,
FALSE,open-source,15,FALSE,,FALSE,,,,
FALSE,opengl,3,FALSE,,FALSE,,,,
FALSE,operating system,2,FALSE,,FALSE,,,,
FALSE,os x,4,FALSE,,FALSE,,,,
FALSE,otome,2,FALSE,,FALSE,,,,
FALSE,outlook,2,FALSE,,FALSE,,,,
FALSE,outros,2,FALSE,,FALSE,,,,
FALSE,p2p,4,FALSE,,FALSE,,,,
FALSE,package,2,FALSE,,FALSE,,,,
FALSE,painting,2,FALSE,,FALSE,,,,
FALSE,panel,2,FALSE,,FALSE,,,,
FALSE,parsing,2,FALSE,,FALSE,,,,
FALSE,pc,2,FALSE,,FALSE,,,,
FALSE,pc games,2,FALSE,,FALSE,,,,
TRUE,pdf,6,FALSE,pdf,FALSE,,,,
TRUE,performance,5,FALSE,performance,FALSE,,,,
FALSE,photos,3,FALSE,,FALSE,,,,
FALSE,php,2,FALSE,,FALSE,,,,
FALSE,pixel art,2,FALSE,,FALSE,,,,
FALSE,pixijs,2,FALSE,,FALSE,,,,
FALSE,platform,9,FALSE,,FALSE,,,,
FALSE,platforms,3,FALSE,,FALSE,,,,
FALSE,playback,2,FALSE,,FALSE,,,,
TRUE,player,11,TRUE,player,TRUE,player,"player,",,
TRUE,plugin,6,TRUE,plugin,TRUE,plugin,"plugin,",,
FALSE,plugins,4,FALSE,,FALSE,,,,
FALSE,png,2,FALSE,,FALSE,,,,
FALSE,podcast,2,FALSE,,FALSE,,,,
TRUE,pomodoro,3,TRUE,pomodoro,TRUE,pomodoro,"pomodoro,",,
FALSE,postgres,2,FALSE,,FALSE,,,,
FALSE,postgresql,4,FALSE,,FALSE,,,,
FALSE,posts,2,FALSE,,FALSE,,,,
FALSE,powershell,3,FALSE,,FALSE,,,,
FALSE,privacy,5,FALSE,,FALSE,,,,
FALSE,privilege escalation,2,FALSE,,FALSE,,,,
TRUE,productivity,16,FALSE,productivity,FALSE,,,,
FALSE,program,2,FALSE,,FALSE,,,,
FALSE,programming,13,FALSE,,FALSE,,,,
FALSE,project management,3,FALSE,,FALSE,,,,
FALSE,prototyping,5,FALSE,,FALSE,,,,
TRUE,proxy,7,TRUE,proxy,TRUE,proxy,"proxy,",,
FALSE,ps,2,FALSE,,FALSE,,,,
FALSE,publishing,2,FALSE,,FALSE,,,,
FALSE,python,7,FALSE,,FALSE,,,,
FALSE,qq,2,FALSE,,FALSE,,,,
FALSE,quality,2,FALSE,,FALSE,,,,
FALSE,queries,2,FALSE,,FALSE,,,,
FALSE,r,4,FALSE,,FALSE,,,,
FALSE,raspberry pi,2,FALSE,,FALSE,,,,
FALSE,react,47,FALSE,,FALSE,,,,
FALSE,react components,2,FALSE,,FALSE,,,,
FALSE,react native,9,FALSE,,FALSE,,,,
FALSE,react-native,2,FALSE,,FALSE,,,,
FALSE,reactive,2,FALSE,,FALSE,,,,
FALSE,real-,2,FALSE,,FALSE,,,,
FALSE,real-time,3,FALSE,,FALSE,,,,
FALSE,record,2,FALSE,,FALSE,,,,
FALSE,red,2,FALSE,,FALSE,,,,
FALSE,redis,6,FALSE,,FALSE,,,,
